label	cat
actor	occupation
afro	physicaltrait_body
bangs	physicaltrait_body
beard	physicaltrait_body
beauty	physicaltrait_body
black_hair	physicaltrait_body
blazer	clothing_apparel
blond	physicaltrait_body
blue	color_adjective
bob_cut	physicaltrait_body
brown_hair	physicaltrait_body
business	occupation
businessperson	occupation
carpet	other
cheek	physicaltrait_body
chin	physicaltrait_body
dress_shirt	clothing_apparel
ear	physicaltrait_body
elder	physicaltrait_body
electric_blue	color_adjective
energy	other
eyebrow	physicaltrait_body
eyewear	clothing_apparel
face	physicaltrait_body
facial_expression	physicaltrait_body
facial_hair	physicaltrait_body
fashion	clothing_apparel
fashion_accessory	clothing_apparel
flag	other
flag_of_the_united_states	other
forehead	physicaltrait_body
formal_wear	clothing_apparel
fun	color_adjective
gentleman	color_adjective
girl	physicaltrait_body
glasses	clothing_apparel
grass	other
hair	physicaltrait_body
hair_coloring	physicaltrait_body
hairstyle	physicaltrait_body
hat	clothing_apparel
head	physicaltrait_body
headgear	clothing_apparel
hotel_manager	occupation
human	color_adjective
human_hair_color	physicaltrait_body
iris	physicaltrait_body
jacket	clothing_apparel
jaw	physicaltrait_body
jheri_curl	physicaltrait_body
job	occupation
lady	physicaltrait_body
laughter	physicaltrait_body
layered_hair	physicaltrait_body
lip	physicaltrait_body
long_hair	physicaltrait_body
magenta	color_adjective
male	physicaltrait_body
man	physicaltrait_body
management	occupation
military_officer	occupation
military_person	occupation
moustache	physicaltrait_body
mouth	physicaltrait_body
music_artist	occupation
neck	physicaltrait_body
necktie	clothing_apparel
newscaster	occupation
newsreader	occupation
nose	physicaltrait_body
official	occupation
outerwear	clothing_apparel
pattern	other
person	other
photograph	other
photography	other
pink	color_adjective
pixie_cut	physicaltrait_body
portrait	other
portrait_photography	other
product	other
public_speaking	occupation
purple	color_adjective
red	color_adjective
scarf	clothing_apparel
scholar	occupation
sedan	other
senior_citizen	physicaltrait_body
shoulder	physicaltrait_body
skin	physicaltrait_body
sleeve	clothing_apparel
smile	physicaltrait_body
speaker	occupation
speech	other
spokesperson	occupation
standing	color_adjective
student	occupation
suit	clothing_apparel
sunglasses	clothing_apparel
surfer_hair	physicaltrait_body
sweater	clothing_apparel
television_presenter	occupation
textile	clothing_apparel
tooth	physicaltrait_body
turquoise	color_adjective
tuxedo	clothing_apparel
uniform	clothing_apparel
vision_care	clothing_apparel
white_collar_worker	occupation
wrinkle	physicaltrait_body
